rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance Text,Distance Value,Duration Text,Duration Value,target_location
1,16000.0,92.0,Дніпровський,"Соборності просп. (Возз'єднання), 30а",,1,Livoberezhna,"50.451864, 30.59815699999999",1.8 km,1768.0,21 mins,1286.0,"50.43972015,30.60955238"
2,14000.0,73.0,Голосіївський,"Заболотного академіка вул., 15м",Теремки,3,Teremky,"50.3671113, 30.4541397",2.3 km,2269.0,29 mins,1712.0,"50.3576622,30.47786903"
1,14000.0,82.0,Голосіївський,"Наддніпрянське шосе, 2а",,3,Vydubychi,"50.401822, 30.56048799999999",1.9 km,1936.0,24 mins,1419.0,"50.39185715,30.55728912"
1,11500.0,74.0,Дарницький,"Драгоманова вул., 14а",,1,Pozniaky,"50.3978642, 30.6347451",2.2 km,2170.0,28 mins,1652.0,"50.41214752,30.6354866"
1,8900.0,63.0,Дніпровський,"Микільсько-Слобідська вул., 6/2",,1,Livoberezhna,"50.451864, 30.59815699999999",1.1 km,1148.0,16 mins,960.0,"50.45512772,30.58769608"
1,18100.6,82.0,Солом'янський,"Гетьмана Вадима вул., 30б",,2,Shuliavska,"50.45422809999999, 30.44862209999999",2.1 km,2091.0,27 mins,1646.0,"50.4452095,30.44025612"
2,14000.0,92.0,Солом'янський,"Гонгадзе Георгія вул. (Машинобудівна), 41",,2,Beresteiska,"50.4593178, 30.4186364",1.4 km,1386.0,18 mins,1080.0,"50.44981766,30.42057037"
1,11000.0,82.0,Солом'янський,"Ернста вул., 16в",,2,,,,,,,"50.4158783,30.46406364"
2,15000.0,96.0,Солом'янський,"Святославська вул., 11б",,2,,,,,,,"50.42761993,30.4458046"
1,12500.0,43.0,Солом'янський,"Липківского Василя вул. (Урицького), 38а",,2,Vokzalna,"50.44133530000001, 30.489963",1.9 km,1910.0,22 mins,1348.0,"50.43286514,30.4752388"
2,10000.0,130.0,Дарницький,"Харківське шосе, 58а",,1,Kharkivska,"50.40067610000001, 30.6520895",2.9 km,2865.0,35 mins,2112.0,"50.42253494,30.64447021"
1,12000.0,37.0,Дарницький,"Малоземельна вул., 75",,1,Slavutych,"50.3942606, 30.6048644",1.1 km,1108.0,14 mins,841.0,"50.39297867,30.60114288"
1,10000.0,90.0,Дарницький,"Вінграновського Миколи вул., 2",,1,Chervonyi khutir,"50.40947300000001, 30.696203",1.8 km,1800.0,22 mins,1334.0,"50.41940689,30.68130684"
1,12000.0,73.0,Дарницький,"Кам'янська вул. (Дніпродзержинська), 128",,1,Vyrlytsia,"50.4029499, 30.666911",0.6 km,635.0,8 mins,477.0,"50.40506744,30.66982651"
1,12000.0,100.0,Голосіївський,"Науки просп., 80а/73",,3,,,,,,,"nan,nan"
3,44328.0,180.0,Дарницький,"Трускавецька вул., 6в",,1,,,,,,,"nan,nan"
2,22000.0,110.0,Голосіївський,"Лисогірський пров., 20",,3,Vydubychi,"50.401822, 30.56048799999999",6.5 km,6534.0,1 hour 19 mins,4733.0,"50.38869476,30.54831123"
1,7000.0,55.0,Голосіївський,"Добрий Шлях вул., 7",Голосіївська,3,Holosiivska,"50.3973835, 30.5082507",0.9 km,868.0,11 mins,684.0,"50.39659119,30.5176754"
3,13000.0,145.0,Голосіївський,"Самійла Кішки вул. (Конєва), 5А",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1.0 km,965.0,13 mins,755.0,"50.38169861,30.46366692"
1,15000.0,98.0,Голосіївський,"Саперно-Слобідська вул., 10",Деміївська,3,Demiivska,"50.404788, 30.516868",1.6 km,1641.0,22 mins,1314.0,"50.40401077,30.53069687"
